PondID,pH,Salinity,Carbonate,BiCarbonate,Alkalinity,Hardness,Calcium,Magnesium,Ammonia,DateofReport,Coincidence,Date of Image,Cloud Cover,B10,Geojson,B11,B12,B1,B2,B3,B4,B5,B6,B7,B8A,B8,B9
TUPILIPALEM_A2,8.4,35,30,120,150,6300,388,1296,0,2022-07-14,0,2022-07-14,0,42,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.14526797500247,
              14.020721313466282
            ],
            [
              80.14536373172126,
              14.020202908825837
            ],
            [
              80.14576016454407,
              14.020347839273484
            ],
            [
              80.14564334134582,
              14.020823507791704
            ],
            [
              80.14526797500247,
              14.020721313466282
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",980,612,1500,1254,1163,926,1025,1062,1171,1188,920,185
TUPILIPALEM_A3,8.7,38,40,120,160,6800,472,1471,0,2022-07-14,0,2022-07-14,0,38,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.1445790294037,
              14.020464095942799
            ],
            [
              80.14465442226486,
              14.019947190943881
            ],
            [
              80.14508164847547,
              14.020098361393735
            ],
            [
              80.14496101989778,
              14.020600636691356
            ],
            [
              80.1445790294037,
              14.020464095942799
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",813,484,1477,1302,1167,887,899,918,1042,993,988,174
TUPILIPALEM_A4,8.7,39,40,110,150,6960,482,1488,0,2022-07-14,0,2022-07-14,0,23,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.14389044127671,
              14.020337308032325
            ],
            [
              80.14394572937368,
              14.01984478509847
            ],
            [
              80.14431264129593,
              14.019908179197984
            ],
            [
              80.14424730081629,
              14.02037144324592
            ],
            [
              80.14389044127671,
              14.020337308032325
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",624,433,1478,1186,1072,773,779,727,826,898,703,170
TUPILIPALEM_A5,8.7,40,40,120,160,7100,488,1491,0,2022-07-14,0,2022-07-14,0,21,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.14320464803308,
              14.020193242069638
            ],
            [
              80.14326133087303,
              14.019739538808722
            ],
            [
              80.14362032218696,
              14.01978078459689
            ],
            [
              80.143582533629,
              14.020239070631618
            ],
            [
              80.14320464803308,
              14.020193242069638
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",799,525,1515,1208,989,798,881,879,992,1018,756,178
TUPILIPALEM_B2,8.6,36,50,110,160,6200,378,1302,0,2022-07-14,0,2022-07-14,0,30,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.14502647255745,
              14.021645612866081
            ],
            [
              80.14511924283977,
              14.021179928533172
            ],
            [
              80.14553065887833,
              14.021309067980354
            ],
            [
              80.14546612302996,
              14.021739532280392
            ],
            [
              80.14502647255745,
              14.021645612866081
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",1179,711,1607,1237,1162,1111,1116,1217,1268,1254,828,227
TUPILIPALEM_B3,8.6,38,40,110,150,6700,384,1441,0,2022-07-14,0,2022-07-14,0,30,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.14440609831053,
              14.021543284614253
            ],
            [
              80.14447870114105,
              14.020948460496243
            ],
            [
              80.14482558132943,
              14.021038466876277
            ],
            [
              80.14468440915942,
              14.021586331036843
            ],
            [
              80.14440609831053,
              14.021543284614253
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",871,610,1512,1183,1141,910,1048,954,1077,1134,778,169
TUPILIPALEM_B4,8.6,37,30,90,140,4500,354,1402,0,2022-07-14,0,2022-07-14,0,35,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.1438172338195,
              14.021318710538964
            ],
            [
              80.14384901399188,
              14.020829781933315
            ],
            [
              80.14415773566725,
              14.020891448661672
            ],
            [
              80.1440442350513,
              14.021375972379943
            ],
            [
              80.1438172338195,
              14.021318710538964
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",972,544,1507,1286,1145,875,971,950,923,942,901,163
TUPILIPALEM_B5,8.5,40,30,90,140,6980,476,1502,0,2022-07-14,0,2022-07-14,0,40,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.14311353000215,
              14.021199782054794
            ],
            [
              80.14314985019769,
              14.020715257964397
            ],
            [
              80.14348127199702,
              14.020781329491967
            ],
            [
              80.14342679170062,
              14.021230615371337
            ],
            [
              80.14311353000215,
              14.021199782054794
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",1118,695,1549,1362,1209,977,1026,1049,1080,1086,1041,198
TUPILIPALEM_A2,8.5,40,40,130,170,7040,426,1568,0.05,,1,2022-08-23,0,50,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.14526797500247,
              14.020721313466282
            ],
            [
              80.14536373172126,
              14.020202908825837
            ],
            [
              80.14576016454407,
              14.020347839273484
            ],
            [
              80.14564334134582,
              14.020823507791704
            ],
            [
              80.14526797500247,
              14.020721313466282
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",1409,976,1717,1403,1385,1214,1472,1436,1593,1602,985,260
TUPILIPALEM_A3,8.6,37,40,140,180,6460,386,1502,0.02,,1,2022-08-23,0,46,"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          [
            [
              80.1445790294037,
              14.020464095942799
            ],
            [
              80.14465442226486,
              14.019947190943881
            ],
            [
              80.14508164847547,
              14.020098361393735
            ],
            [
              80.14496101989778,
              14.020600636691356
            ],
            [
              80.1445790294037,
              14.020464095942799
            ]
          ]
        ],
        ""type"": ""Polygon""
      }
    }
  ]
}",1209,893,1713,1399,1469,1244,1394,1353,1396,1425,1082,257
