PondID,pH,Salinity,Carbonate,BiCarbonate,Alkalinity,Hardness,Calcium,Magnesium,Ammonia,DateofReport,Coincidence,Date of Image,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
TUPILIPALEM_A2,8.4,35,30,120,150,6300,388,1296,0,7/14/2022,0,7/14/2022,102,658,1096,821,759,964,800,1132,1074,1130,924,1135,1643
TUPILIPALEM_A3,8.7,38,40,120,160,6800,472,1471,0,7/14/2022,0,7/14/2022,102,615,785,645,645,833,639,879,885,971,696,911,1296
TUPILIPALEM_A4,8.7,39,40,110,150,6960,482,1488,0,7/14/2022,0,7/14/2022,102,670,679,573,541,694,528,768,633,710,574,801,1673
TUPILIPALEM_A5,8.7,40,40,120,160,7100,488,1491,0,7/14/2022,0,7/14/2022,102,703,796,699,558,662,637,699,780,869,538,858,1599
TUPILIPALEM_B2,8.6,36,50,110,160,6200,378,1302,0,7/14/2022,0,7/14/2022,102,747,1323,957,732,968,1040,1261,1274,1236,808,1200,1759
TUPILIPALEM_B3,8.6,38,40,110,150,6700,384,1441,0,7/14/2022,0,7/14/2022,102,718,946,742,588,940,659,1159,930,1010,736,1067,1551
TUPILIPALEM_B4,8.6,37,30,90,140,4500,354,1402,0,7/14/2022,0,7/14/2022,102,701,872,640,652,816,654,979,807,824,660,849,1545
TUPILIPALEM_B5,8.5,40,30,90,140,6980,476,1502,0,7/14/2022,0,7/14/2022,102,699,1064,934,676,864,654,967,987,997,794,1004,1761
TUPILIPALEM_A2,8.5,40,40,130,170,7040,426,1568,0.05,,1,8/23/2022,324,946,1609,1242,854,1346,1208,1819,1618,1729,960,1699,1463
TUPILIPALEM_A3,8.6,37,40,140,180,6460,386,1502,0.02,,1,8/23/2022,324,971,1367,1134,834,1422,1072,1691,1491,1343,936,1314,1269
TUPILIPALEM_A4,8.5,36,30,140,170,6300,374,1466,0.02,,1,8/23/2022,324,933,1232,1011,816,1412,1012,1468,1072,943,844,946,1832
TUPILIPALEM_A5,8.2,40,20,180,200,7068,432,1571,0.01,,1,8/23/2022,324,938,1018,791,814,1132,968,1063,878,880,883,879,1544
TUPILIPALEM_B1,8.4,30,30,130,160,5500,324,1228,0.03,,1,8/23/2022,324,1023,1169,935,710,955,810,1335,1116,1194,858,1175,2126
TUPILIPALEM_B2,8.5,40,40,130,170,7100,440,1552,0.02,,1,8/23/2022,324,994,1774,1362,910,1594,1480,1753,1400,1750,1194,1737,1457
TUPILIPALEM_B3,8.6,43,40,160,200,7600,468,1588,0.02,,1,8/23/2022,324,1078,1455,1222,791,1220,1064,1773,1618,1712,987,1655,1452
TUPILIPALEM_B4,8.6,40,50,130,170,7060,438,1561,0.02,,1,8/23/2022,324,1075,1387,1201,942,1460,1094,1785,1505,1363,1024,1343,1805
TUPILIPALEM_B5,8.6,40,50,130,170,7080,428,1546,0.01,,1,8/23/2022,324,1054,1557,1201,894,1068,944,1367,1265,1634,1044,1629,1615
TUPILIPALEM_B7,8.4,36,30,130,160,5660,328,1226,0.01,,1,8/23/2022,324,1119,1204,863,896,1286,1100,1312,1056,1306,1070,1281,1462
TUPILIPALEM_B8,8.4,35,30,120,150,5400,312,1226,0.01,,1,8/23/2022,324,1117,1399,1170,872,1242,1048,1387,1217,1174,1022,1226,3103
TUPILIPALEM_A1,8.3,38,30,140,170,6500,400,1521,0.02,,1,8/23/2022,324,1064,2180,1578,1272,1716,1836,2366,2440,2442,2232,2492,2059
TUPILIPALEM_A6,8.4,38,30,150,180,6800,400,1532,0.01,,1,8/23/2022,324,955,1151,843,836,1130,982,1262,1218,1254,886,1297,1329
